Abbe	66	-57.30	175.20	33.0	33000	56.76	52.85	38.47	35.03		3.68	2.741	17.62	3799.47	1.26	15.50		0.00	14.52	86.90	0.158	0.475	308.91	38.61	11.44	4.83	2.47	139.63	498.59	544.65	492.23	79.13	63.51	158.26	87.94	103.54	130.15	90.29	5.89	5.28	9.97	10.40	610.86	Nectarian	2		PC			IAU1970	Abbe
Abbe H	25	-58.20	177.90	12.5	12500	21.50	23.16	15.53	10.42		2.75	1.901	7.72	403.48	0.85	6.89		0.34	3.91	10.37	0.083	0.250	150.61	18.83	5.58	2.35	1.20	25.82	135.58	148.53	70.73	29.80	24.62	53.65	27.13	30.87	36.99	26.83	0.00	2.32	0.00	3.58	25.48							AW82	Abbe H
Abbe K	28	-59.60	177.30	14.0	14000	24.08	25.50	17.26	12.00		2.85	1.968	8.50	524.22	0.89	7.57		0.43	4.68	13.29	0.090	0.270	163.78	20.47	6.07	2.56	1.31	32.51	163.17	178.70	91.70	33.40	27.50	60.87	31.12	35.55	42.84	30.91	2.84	2.55	2.74	4.05	36.92							AW82	Abbe K
Abbe M	29	-61.60	175.30	14.5	14500	24.94	26.27	17.84	12.54		2.88	1.989	8.76	568.48	0.90	7.80		0.46	4.94	14.35	0.092	0.276	168.09	21.01	6.23	2.63	1.34	34.85	172.47	188.87	99.19	34.60	28.46	63.30	32.47	37.14	44.83	32.30	2.93	2.63	2.94	4.21	41.42							AW82	Abbe M
Abbot	10	5.60	54.80	5.0	5000	8.30	8.40	0.00	1.80		2.01	1.648	2.80	40.00	0.37	2.64		0.00	0.00	0.00	0.046	0.137	200.00	25.00	7.41	3.13	1.60	7.41	21.39	23.49	6.11	11.85	10.07	19.33	11.77	13.57	16.57	8.54	0.00	0.84	0.00	0.96	0.51							IAU1973	Abbot
Abel	122	-34.50	87.30	61.0	61000	104.92	89.09	68.32	75.46		4.43	2.914	29.70	15706.09	1.60	25.91		0.00	29.03	333.71	0.000	0.000	486.71	60.84	18.03	7.60	3.89	308.66	863.66	941.70	1276.61	146.80	115.67	313.84	185.10	222.72	288.56	194.61	9.93	8.91	19.54	20.43	4561.35	pre-Nectarian	1		GHM 2			F1895   F1895	Abel
Abel A	19	-36.60	86.00	9.5	9500	16.34	18.34	12.02	5.60		2.53	1.749	6.11	214.04	0.76	5.47		0.20	2.35	5.68	0.070	0.209	122.93	15.37	4.55	1.92	0.98	14.21	83.21	91.24	36.25	22.61	18.84	39.52	19.46	21.92	25.92	19.04	0.00	1.83	0.00	2.65	10.38							NLF?	Abel A
Abel B	41	-36.70	82.80	20.5	20500	35.26	35.26	24.66	19.33		3.19	2.209	11.75	1265.05	1.04	10.41		0.90	8.05	30.64	0.12	0.35	217.18	27.15	8.04	3.39	1.74	65.95	284.48	311.20	205.41	49.01	39.90	93.11	49.40	57.20	70.22	49.80	3.93	3.53	5.32	6.16	128.62	Nectarian	2		PC			NLF?	Abel B
Abel C	31	-36.00	81.00	15.5	15500	26.66	27.80	18.99	13.63		2.93	2.029	9.27	663.17	0.93	8.24		0.52	5.46	16.61	0.10	0.29	176.59	22.07	6.54	2.76	1.41	39.66	191.17	209.30	114.87	37.00	30.37	68.18	35.21	40.36	48.88	35.11	3.10	2.78	3.35	4.53	51.52							NLF?	Abel C
Abel D	30	-37.70	87.70	15.0	15000	25.80	27.04	18.41	13.08		2.91	2.009	9.01	614.79	0.92	8.02		0.49	5.20	15.46	0.09	0.28	172.36	21.54	6.38	2.69	1.38	37.23	181.81	199.07	106.92	35.80	29.42	65.74	33.83	38.75	46.85	33.70	3.01	2.70	3.15	4.37	46.28							NLF?	Abel D
Abel E	13	-37.80	86.50	6.5	6500	10.79	10.92	0.00	2.87		2.61	2.110	3.64	0.00	0.49	3.44		0.00	0.00	0.00	0.05	0.16	260.00	32.50	9.63	4.06	2.08	15.90	38.63	42.40	13.11	15.43	13.01	25.89	16.49	19.26	23.93	11.85	0.00	1.09	0.00	1.35	1.41							NLF?	Abel E
Abel J	11	-35.50	79.00	5.5	5500	9.13	9.24	0.00	2.14		2.21	1.803	3.08	53.24	0.41	2.90		0.00	0.00	0.00	0.05	0.15	220.00	27.50	8.15	3.44	1.76	9.83	26.66	29.28	8.11	13.05	11.05	21.49	13.30	15.41	18.94	9.62	0.00	0.92	0.00	1.09	0.74							NLF?	Abel J
Abel K	9	-35.00	77.20	4.5	4500	7.47	7.56	0.00	1.50		1.80	1.493	2.52	29.16	0.33	2.37		0.00	0.00	0.00	0.04	0.13	180.00	22.50	6.67	2.81	1.44	5.38	16.65	18.29	4.44	10.66	9.08	17.19	10.28	11.79	14.30	7.48	0.00	0.76	0.00	0.84	0.34							NLF?	Abel K
Abel L	67	-34.40	82.60	33.5	33500	57.62	53.53	39.02	35.70		3.70	2.745	17.84	3933.78	1.26	15.70		0.00	14.78	89.81	0.16	0.48	312.36	39.05	11.57	4.88	2.50	142.67	506.43	553.18	504.92	80.33	64.45	160.94	89.56	105.50	132.71	92.00	5.96	5.35	10.15	10.58	641.67	Nectarian	2	Partly covered by Imbrian ejecta 	PC			NLF?	Abel L
Abel M	81	-32.20	83.60	40.5	40500	69.66	62.90	46.59	45.24		3.92	2.797	20.97	6097.86	1.36	18.40		0.00	18.41	136.09	0.18	0.54	359.46	44.93	13.31	5.62	2.88	185.41	610.39	666.37	689.38	97.23	77.56	198.84	112.70	133.66	169.71	116.63	7.01	6.29	12.62	13.03	1193.98	pre-Nectarian	1		W&B09			NLF?	Abel M
Abenezra	42	-21.00	11.90	21.0	21000	36.12	35.99	25.22	19.92		3.22	2.226	12.00	1337.47	1.05	10.63		0.95	8.31	32.30	0.12	0.35	221.09	27.64	8.19	3.45	1.77	68.73	293.67	321.23	215.43	50.22	40.85	95.64	50.86	58.94	72.45	51.32	4.01	3.60	5.51	6.33	139.18	Upper Imbrian	4		GHM 2			VL1645  R1651	Abenezra
Abenezra A	23	-22.80	10.50	11.5	11500	19.78	21.57	14.36	9.39	3.31	2.68	1.853	7.19	332.79	0.82	6.42		0.29	3.39	8.64	0.08	0.24	141.59	17.70	5.24	2.21	1.13	21.67	117.59	128.86	58.08	27.40	22.70	48.89	24.52	27.82	33.20	24.18	0.00	2.16	0.00	3.27	19.40							NLF?	Abenezra A
Abenezra B	14	-20.80	10.10	7.0	7000	11.62	11.76	0.00	3.27	2.77	2.82	2.262	3.92	0.00	0.52	3.70		0.00	0.00	0.00	0.06	0.17	280.00	35.00	10.37	4.38	2.24	19.55	45.25	49.66	16.13	16.63	13.98	28.12	18.14	21.26	26.54	13.00	0.00	1.18	0.00	1.49	1.88							NLF?	Abenezra B
Abenezra C	44	-21.30	11.10	22.0	22000	37.84	37.44	26.34	21.11		3.26	2.257	12.48	1489.20	1.07	11.05		1.04	8.83	35.76	0.12	0.36	228.83	28.60	8.48	3.58	1.83	74.36	311.91	341.14	235.91	52.62	42.75	100.73	53.81	62.46	76.95	54.39	4.17	3.74	5.90	6.66	162.06							NLF?	Abenezra C
Abenezra D	8	-21.70	9.70	4.0	4000	6.64	6.72	0.00	1.22	1.25	1.60	1.336	2.24	20.48	0.30	2.10		0.00	0.00	0.00	0.04	0.12	160.00	20.00	5.93	2.50	1.28	3.73	12.48	13.71	3.08	9.47	8.10	15.07	8.83	10.08	12.13	6.46	0.00	0.67	0.00	0.72	0.22							NLF?	Abenezra D
Abenezra E	14	-21.40	9.40	7.0	7000	11.62	11.76	0.00	3.27	1.13	2.82	2.262	3.92	0.00	0.52	3.70		0.00	0.00	0.00	0.06	0.17	280.00	35.00	10.37	4.38	2.24	19.55	45.25	49.66	16.13	16.63	13.98	28.12	18.14	21.26	26.54	13.00	0.00	1.18	0.00	1.49	1.88							NLF?	Abenezra E
Abenezra F	7	-21.50	10.30	3.5	3500	5.81	5.88	0.00	0.96		1.40	1.178	1.96	13.72	0.26	1.84		0.00	0.00	0.00	0.04	0.11	140.00	17.50	5.19	2.19	1.12	2.44	8.90	9.79	2.01	8.28	7.11	12.99	7.44	8.44	10.06	5.46	0.00	0.59	0.00	0.61	0.13							NLF?	Abenezra F
Abenezra G	5	-20.50	11.00	2.5	2500	4.15	4.20	0.00	0.53		1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abenezra G
